title,site,type,directorAndActor,quote,star,date,url
小鞋子 / 天堂的孩子  /  小童鞋,伊朗,剧情 家庭 儿童,导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕...,奔跑的孩子是天使。,9.2,1997,https://movie.douban.com/subject/1303021/
大闹天宫 / 大闹天宫 上下集  /  The Monkey King,中国大陆,动画 奇幻,导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...,经典之作，历久弥新。,9.2,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆),https://movie.douban.com/subject/1418019/
"摩登时代 / The Masses  /  Temps modernes, Les",美国,喜剧 剧情 爱情,导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...,大时代中的人生，小人物的悲喜。,9.2,1936,https://movie.douban.com/subject/1294371/
七武士 / 七侠四义(港)  /  The Seven Samurai,日本,动作 冒险 剧情,导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/志村乔...,时代悲歌。,9.2,1954,https://movie.douban.com/subject/1295399/
东京物语 / 东京故事  /  Tokyo Story,日本,剧情 家庭,导演:小津安二郎YasujirôOzu   主演:笠智众ChishûRyû/原节...,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,9.2,1953,https://movie.douban.com/subject/1291568/
城市之光 / City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,美国,喜剧 剧情 爱情,导演:CharlesChaplin   主演:查理·卓别林CharlesChaplin/弗吉尼亚·...,永远的小人物，伟大的卓别林。,9.2,1931,https://movie.douban.com/subject/1293908/
龙猫 / 邻家的豆豆龙  /  隔壁的特特罗,日本,儿童 动画 奇幻 家庭,导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...,人人心中都有个龙猫，童年就永远不会消失。,9.1,1988,https://movie.douban.com/subject/1291560/
楚门的世界 / 真人Show(港)  /  真人戏,美国,剧情 科幻,导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...,如果再也不能见到你，祝你早安，午安，晚安。,9.1,1998,https://movie.douban.com/subject/1292064/
触不可及 / 闪亮人生(港)  /  逆转人生(台),法国,剧情 喜剧,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...,满满温情的高雅喜剧。,9.1,2011,https://movie.douban.com/subject/6786002/
天堂电影院 / 星光伴我心(港)  /  新天堂乐园(台),意大利 法国,剧情 爱情,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:安东娜拉·塔莉Antonel...,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.1,1988,https://movie.douban.com/subject/1291828/
